nombre-activo,nombre-marca,presentacion,registro-sanitario
ACETAMINOFEN,ACETAMINOFEN,120 mg /5 ml JARABE,E.F.G.29.727
ACETAMINOFEN,ACETAMINOFEN,2.4 % ELIXIR,E.F.G.26.545
ACETAMINOFEN,ACETAMINOFEN,125 mg SUPOSITORIOS,E.F.G.26.204
ACETAMINOFEN,ACETAMINOFEN,250 mg SUPOSITORIOS,E.F.G.25.934
ACETAMINOFEN,ACETAMINOFEN,500 mg TABLETAS,E.F.G.25.926
ACETAMINOFEN,ACETAMINOFEN,120 mg /5 ml JARABE,E.F.G.25.925
ACETAMINOFEN,ACETAMINOFEN,100 mg /ml SOLUCION GOTAS,E.F.G.25.924
ACETAMINOFEN,ACETAMINOFEN,500 mg TABLETAS,E.F.G.25.843
ACETAMINOFEN,ACETAMINOFEN,500 mg COMPRIMIDOS,E.F.G.25.466
ACETAMINOFEN,ACETAMINOFEN,500 mg COMPRIMIDOS,E.F.G.24.745
ACETAMINOFEN,ACETAMINOFEN,100 mg/ ml SOLUCION ORAL EN GOTAS,E.F.G.23.633
ACETAMINOFEN,ACETAMINOFEN,500 mg TABLETAS,E.F.G.23.275
ACETAMINOFEN,MEDIGRIP,160 mg / 5 mL SOLUCION ORAL,E.F.41.687
ACETAMINOFEN,APEMIN,10 mg/mL SOLUCION PARA INFUSION,E.F.41.196
ACETAMINOFEN,ATAMEL,180 mg GRANULADO SABOR A NARANJA,E.F.40.839
ACETAMINOFEN,ANANTY FORTE,160 mg/5 mL SUSPENSION,E.F.40.477
ACETAMINOFEN,TACHIFORTE,1 g TABLETAS,E.F.40.210
ACETAMINOFEN,ACEVALONE,1 g TABLETAS VIA ORAL,E.F.40.069
ACETAMINOFEN,PARAFEN,500 mg COMPRIMIDOS,E.F.39.484
ACETAMINOFEN,ILVICO,100 mg / ml SOLUCION GOTAS SABOR CARAMELO USO PEDIATRICO,E.F.39.478
ACETAMINOFEN,ACEVAL,120 mg/5 ml JARABE PEDIATRICO ORAL,E.F.39.336
ACETAMINOFEN,PARAFEN,180 mg/ 5 ml JARABE USO PEDIATRICO,E.F.39.233
ACETAMINOFEN,APIRET,150 mg / mL SUSPENSION ORAL GOTAS,E.F.39.030
ACETAMINOFEN,VICK PYRENA,500 mg/5 g GRANULADO SABOR MANZANA-CANELA,E.F.38.951
ACETAMINOFEN,VICK PYRENA,500 mg/5 g GRANULADO SABOR MANZANILLA-TILO Y TÉ LIMÓN,E.F.38.950
ACETAMINOFEN,INFALGAN,10 mg / ml SOLUCION INYECTABLE PARA INFUSION I.V.,E.F.38.936
ACETAMINOFEN,ANALPER,150 mg/5 ml JARABE,E.F.38.927
ACETAMINOFEN,PARAFEN,120 mg/5 ml JARABE USO PEDIATRICO,E.F.38.913
ACETAMINOFEN,ANPLUS,750 mg COMPRIMIDOS,E.F.38.896
ACETAMINOFEN,ANPLUS,650 mg COMPRIMIDOS,E.F.38.895
ACETAMINOFEN,ANANTY,120 mg / 5 mL SUSPENSION,E.F.38.820
ACETAMINOFEN,BREXIN,650 mg CAPSULAS BLANDAS,E.F.38.471
ACETAMINOFEN,ENOSELTZER,POLVO EFERVESCENTE,E.F.37.959
ACETAMINOFEN,ACETADOL,650 mg CAPSULAS BLANDAS,E.F.36.403
ACETAMINOFEN,TACHIPIRIN FORTE,160 mg / 5 ml SUSPENSIÓN ORAL USO PEDIATRICO .,E.F.35.671
ACETAMINOFEN,ALIVAX FORTE,650 mg CÁPSULAS BLANDAS.,E.F.35.389
ACETAMINOFEN,TACHIFORTE,650 mg TABLETAS,E.F.35.368
ACETAMINOFEN,ANALPER FORTE,650 mg TABLETAS,E.F.35.315
ACETAMINOFEN,ANALPER,120 mg / 5 ml JARABE,E.F.35.089
ACETAMINOFEN,VESTAX,650 mg TABLETAS,E.F.35.075
ACETAMINOFEN,ULTRAFEN,500 mg CAPSULAS BLANDAS,E.F.34.970
ACETAMINOFEN,AMITAFEN FORTE,650 mg TABLETAS,E.F.34.933
ACETAMINOFEN,ULTRAFEN FORTE,650 mg CÁPSULAS BLANDAS,E.F.34.821
ACETAMINOFEN,APYRENE,650 mg CAPSULAS BLANDAS,E.F.34.521
ACETAMINOFEN,VESTAX,650 mg /15 ml JARABE,E.F.34.320
ACETAMINOFEN,DOLKIDS,160 mg / 5 ml SUSPENSION ORAL,E.F.34.041
ACETAMINOFEN,APIRET,180 mg / 5 ml JARABE,E.F.34.032
ACETAMINOFEN,AMITAFEN,100 mg/ml SOLUCION ORAL EN GOTAS,E.F.33.745
ACETAMINOFEN,ALIVAX,500 mg CAPSULAS BLANDAS,E.F.33.522
ACETAMINOFEN,ANANTY,650 mg CAPSULAS BLANDAS,E.F.33.316
ACETAMINOFEN,ATAMEL FORTE,650 mg TABLETAS,E.F.33.008
ACETAMINOFEN,FEBRILIX,500 mg TABLETAS,E.F.32.558
ACETAMINOFEN,DOLKIDS,160 mg COMPRIMIDOS MASTICABLES,E.F.32.091
ACETAMINOFEN,FEBRILIX,100 mg / ml SOLUCION ORAL EN GOTAS,E.F.31.547
ACETAMINOFEN,AGURIN,1 g COMPRIMIDOS,E.F.31.470
ACETAMINOFEN,FEBRILIX,120 mg /5 ml JARABE,E.F.31.439
ACETAMINOFEN,AMITAFEN,500 mg TABLETAS,E.F.31.152
ACETAMINOFEN,ACEVAL,650 mg TABLETAS,E.F.30.496
ACETAMINOFEN,TYLENOL,500 mg TABLETAS RECUBIERTAS,E.F.30.242
ACETAMINOFEN,ATAMEL,80 mg SABOR A FRUTAS,E.F.27.259
ACETAMINOFEN,ACEVAL,500 mg TABLETAS,E.F.25.276
ACETAMINOFEN,ANALPER,500 mg TABLETAS RECUBIERTAS,E.F.24.968
ACETAMINOFEN,ACEVAL,100 mg/ml SOLUCION ORAL EN GOTAS,E.F.24.875
ACETAMINOFEN,ATAMEL,120 mg/5 mL JARABE,E.F.24.736
ACETAMINOFEN,NUPREN,500 mg COMPRIMIDOS,E.F.24.351
ACETAMINOFEN,CADAFEN,500 mg TABLETAS,E.F.24.003
ACETAMINOFEN,VESTAX,100 mg/ml SOLUCIÒN GOTAS,E.F.23.821
ACETAMINOFEN,TACHIPIRIN,125 mg SUPOSITORIOS,E.F.23.819
ACETAMINOFEN,CONMEL,500 mg TABLETAS,E.F.23.403
ACETAMINOFEN,VESTAX,500 mg CAPSULAS,E.F.22.878
ACETAMINOFEN,COLPRIN,500 mg COMPRIMIDOS,E.F.22.332
ACETAMINOFEN,ATAMEL,500 mg TABLETAS,E.F.19.621
ACETAMINOFEN,ATAMEL,100 mg/ml SOLUCION GOTAS,E.F.19.620
ACETAMINOFEN,TACHIPIRIN,500 mg TABLETAS,E.F.19.288
ACETAMINOFEN,TACHIPIRIN,100 mg/ml SOLUCION GOTAS,E.F.18.961
ACETAMINOFEN,TEMPRA,500 mg.TABLETAS,E.F.18.118
ACETAMINOFEN,TACHIPIRIN,JARABE,E.F.10.273
ACETAMINOFEN-DEXTROMETORFANO-FENILEFRINA-CLORFENIRAMINA,ALIVETFA FORTE,GRANULADO,E.F.41.700
ACETAMINOFEN (PARACETAMOL),PARACETAMOL,10 mg/mL SOLUCIÓN PARA INFUSIÓN,E.F.G.40.873
ACETAMINOFEN (PARACETAMOL),BEHFALGAN,10 mg/mL SOLUCIÓN PARA INFUSIÓN,E.F.41.683
ACETAMINOFEN (PARACETAMOL)-TRAMADOL,TRACEVAL,325 mg - 37.5 mg TABLETAS RECUBIERTAS,E.F.40.448
ACETAMINOFEN (PARACETAMOL)-TRAMADOL,TRALEXFEN,37.5 mg - 325 mg CAPSULAS BLANDAS,E.F.38.944
ACETAMINOFEN (PARACETAMOL)-TRAMADOL,TRAMACIP,37.5 mg - 325 mg TABLETAS RECUBIERTAS,E.F.38.041
ACETAMINOFEN (PARACETAMOL)-TRAMADOL,ULTRACET,37.50 mg - 325 mg TABLETAS RECUBIERTAS,E.F.33.448
ACETAMINOFEN-ACIDO ACETILSALICILICO-CAFEINA,MEPADOL,TABLETAS RECUBIERTAS,E.F.37.111
ACETAMINOFEN-ACIDO ACETILSALICILICO-CAFEINA,ADOLEN,250 mg - 250 mg - 65 mg TABLETAS RECUBIERTAS,E.F.31.244
ACETAMINOFEN-BICARBONATO DE SODIO,ENOSELTZER,500 mg - 1342 mg TABLETAS EFERVESCENTES,E.F.34.910
ACETAMINOFEN-CAFEINA,ANALPERCAF,500 mg - 40 mg TABLETAS RECUBIERTAS.,E.F.40.679
ACETAMINOFEN-CAFEINA,ILVICO FORTE,650 mg - 65 mg TABLETAS,E.F.39.855
ACETAMINOFEN-CAFEINA,DOL FORTE,500 mg - 65 mg TABLETAS,E.F.39.525
ACETAMINOFEN-CAFEINA,DOLMEGA,650 mg - 65 mg TABLETAS,E.F.39.524
ACETAMINOFEN-CAFEINA,TYLENOL DC,500 mg - 65 mg TABLETAS RECUBIERTAS,E.F.39.193
ACETAMINOFEN-CAFEINA,PARSEL PLUS,500 mg - 65 mg COMPRIMIDOS RECUBIERTOS,E.F.37.865
ACETAMINOFEN-CAFEINA,ADOLENSA,650 mg - 65 mg TABLETAS RECUBIERTAS,E.F.35.254
ACETAMINOFEN-CAFEINA,ATAMEL PLUS,500 mg - 32 mg TABLETAS,E.F.33.009
ACETAMINOFEN-CAFEINA,SARIDON,500 mg - 50 mg COMPRIMIDOS,E.F.23.986
ACETAMINOFEN-CAFEINA-CLORFENIRAMINA,ACETAMINOFEN-CLORFENIRAMINA MALEATO-CAFEINA,500 mg - 2 mg - 30 mg COMPRIMIDOS,E.F.G.36.488
ACETAMINOFEN-CAFEINA-CLORFENIRAMINA,DOLGRIP,CAPSULAS,E.F.41.759
ACETAMINOFEN-CAFEINA-CLORFENIRAMINA,DAYFLU DIA,500 mg - 10 mg - 2 mg CAPSULAS BLANDAS,E.F.41.047
ACETAMINOFEN-CAFEINA-CLORFENIRAMINA,TERAGRIPFORTE,650 mg - 20 mg - 2 mg/10 g GRANULADO PARA SOLUCION,E.F.40.135
ACETAMINOFEN-CAFEINA-CLORFENIRAMINA,CLORACE DIA,CAPSULAS BLANDAS,E.F.39.840
ACETAMINOFEN-CAFEINA-CLORFENIRAMINA,FLUFEVER,TABLETAS,E.F.38.677
ACETAMINOFEN-CAFEINA-CLORFENIRAMINA,TERAGRIPSA,650 mg - 20 mg - 3 mg / 8 g GRANULADO,E.F.37.688
ACETAMINOFEN-CAFEINA-CLORFENIRAMINA,MEDIGRIP DIA,500 mg - 2 mg - 30 mg COMPRIMIDOS,E.F.37.218
ACETAMINOFEN-CAFEINA-CLORFENIRAMINA,LAPREGRIP,500 mg - 10 mg - 2 mg DIA CAPSULAS BLANDAS,E.F.36.152
ACETAMINOFEN-CAFEINA-CLORFENIRAMINA,CAPSIFLU,500 mg - 10 mg - 2 mg DIA CAPSULAS BLANDAS,E.F.36.147
ACETAMINOFEN-CAFEINA-CLORFENIRAMINA,CAPSIFLU,500 mg - 32 mg - 4 mg DIA POLVO GRANULADO PARA SOLUCION ORAL SABOR,E.F.36.120
ACETAMINOFEN-CAFEINA-CLORFENIRAMINA,TERAGRIPFORTE,650 mg - 20 mg - 2 mg / 10 g GRANULADO,E.F.35.931
ACETAMINOFEN-CAFEINA-CLORFENIRAMINA,TERAGRIPFORTE,650 mg - 20 mg - 2 mg TABLETAS RECUBIERTAS,E.F.35.837
ACETAMINOFEN-CAFEINA-CLORFENIRAMINA,CEPAFLU DIA,CÁPSULAS BLANDAS,E.F.35.106
ACETAMINOFEN-CAFEINA-CLORFENIRAMINA,SINUTIL DÍA,CÁPSULAS BLANDAS,E.F.34.987
ACETAMINOFEN-CAFEINA-CLORFENIRAMINA,ALIPAL FORTE DIA,650 mg - 32 mg - 4 mg CAPSULAS,E.F.34.716
ACETAMINOFEN-CAFEINA-CLORFENIRAMINA,HISTAGRIP,325 mg - 32 mg - 4 mg CÁPSULAS,E.F.34.576
ACETAMINOFEN-CAFEINA-CLORFENIRAMINA,ALIVET,COMPRIMIDOS RECUBIERTOS,E.F.33.365
ACETAMINOFEN-CAFEINA-CLORFENIRAMINA,SINUTIL,325 mg - 32 mg - 4 mg/15 mL JARABE,E.F.32.020
ACETAMINOFEN-CAFEINA-CLORFENIRAMINA,ANGRIP,500 mg - 2 mg - 30 mg COMPRIMIDOS,E.F.31.329
ACETAMINOFEN-CAFEINA-CLORFENIRAMINA,TERAGRIP,250 mg - 2.5 mg - 1 mg CAPSULAS BLANDAS,E.F.30.933
ACETAMINOFEN-CAFEINA-CLORFENIRAMINA,ALIVET,GRANULADO,E.F.29.096
ACETAMINOFEN-CAFEINA-CLORFENIRAMINA,TERAGRIP,TABLETAS,E.F.28.233
ACETAMINOFEN-CAFEINA-CLORFENIRAMINA,TERAGRIP,GRANULADO ADULTO,E.F.28.232
ACETAMINOFEN-CAFEINA-CLORFENIRAMINA,NIPE,JARABE,E.F.26.513
ACETAMINOFEN-CAFEINA-CLORPROFENDIPIRIDAMINA MALEATO,ASCAFYL,TABLETAS RECUBIERTAS,E.F.17.492
ACETAMINOFEN-CAFEINA-CLORPROFENPIRIDAMINA,ASCAFYL PLUS,500 - 30 - 2 mg TABLETAS RECUBIERTAS,E.F.31.150
ACETAMINOFEN-CAFEINA-DEXCLORFENIRAMINA,VICK PYRENA PLUS,POLVO PARA SOLUCIÓN ORAL,E.F.39.847
ACETAMINOFEN-CAFEINA-DEXCLORFENIRAMINA,ALRES,GRANULADO PARA SOLUCIÓN ORAL.,E.F.37.511
ACETAMINOFEN-CAFEINA-DEXCLORFENIRAMINA,ALRES,TABLETAS,E.F.28.391
ACETAMINOFEN-CAFEINA-DIHIDROERGOTAMINA,SINDOLAN,TABLETAS RECUBIERTAS,E.F.40.245
ACETAMINOFEN-CAFEINA-DIHIDROERGOTAMINA,SINDOLAN PLUS,TABLETAS,E.F.40.213
ACETAMINOFEN-CAFEINA-DIHIDROERGOTAMINA,XANIA,COMPRIMIDOS RECUBIERTOS,E.F.38.453
ACETAMINOFEN-CAFEINA-DIHIDROERGOTAMINA,DIFEN PLUS,TABLETAS,E.F.38.307
ACETAMINOFEN-CAFEINA-DIHIDROERGOTAMINA,MIGREN,COMPRIMIDOS RECUBIERTOS,E.F.36.744
ACETAMINOFEN-CAFEINA-DIHIDROERGOTAMINA,DIFEN,TABLETAS RECUBIERTAS,E.F.29.117
ACETAMINOFEN-CAFEINA-DIHIDROERGOTAMINA,DOLPLUS,TABLETAS,E.F.27.553
ACETAMINOFEN-CAFEINA-DIHIDROERGOTAMINA,DOL,TABLETAS,E.F.26.655
ACETAMINOFEN-CAFEINA-DIHIDROERGOTAMINA,IVAGAN,GRAGEAS,E.F.22.494
ACETAMINOFEN-CAFEINA-CODEINA FOSFATO-DOXOLAMINA SUCCINATO,MERCINDOL,TABLETAS,E.F.21.191
ACETAMINOFEN-CARBETAPENTANO-FENILEFRINA-CARBINOXAMINA,TERAPLUS,TABLETAS,E.F.41.669
ACETAMINOFEN-CARBETAPENTANO-FENILEFRINA-CARBINOXAMINA,RESPRIN,COMPRIMIDOS,E.F.34.626
ACETAMINOFEN-CLORFENIRAM-DEXTROMETORF-PSEUDOEFEDR,ALIVETFA,GRANULADO PARA SOLUCION ORAL,E.F.39.917
ACETAMINOFEN-CLORFENIRAM-DEXTROMETORF-PSEUDOEFEDR,ALIVETFA,COMPRIMIDOS RECUBIERTOS,E.F.37.444
ACETAMINOFEN-CLORFENIRAM-DEXTROMETORF-PSEUDOEFEDR,TERAGRIPSUPRA,TABLETAS RECUBIERTAS,E.F.37.166
ACETAMINOFEN-CLORFENIRAMINA,ACETAMINOFEN-CLORFENIRAMINA,125 mg - 1 mg/5 ml JARABE,E.F.G.40.713
ACETAMINOFEN-CLORFENIRAMINA,ACETAMINOFEN-CLORFENIRAMINA MALEATO,500 mg - 3 mg COMPRIMIDOS,E.F.G.36.497
ACETAMINOFEN-CLORFENIRAMINA,NOXPIRIN,80 mg - 0.40 mg / mL SOLUCION GOTAS,E.F.41.754
ACETAMINOFEN-CLORFENIRAMINA,TERAGRIP,325 mg - 1.25 mg / 5 mL SOLUCION ORAL,E.F.41.679
ACETAMINOFEN-CLORFENIRAMINA,BABILINKID,100 mg - 0.42 mg/mL SOLUCIÓN,E.F.41.668
ACETAMINOFEN-CLORFENIRAMINA,SINUTIL,80 mg - 0.50 mg / mL SOLUCIÓN,E.F.41.645
ACETAMINOFEN-CLORFENIRAMINA,TYBY,80 mg - 0.5 mg / mL SOLUCION ORAL,E.F.41.551
ACETAMINOFEN-CLORFENIRAMINA,TERAGRIP,80 mg - 0.5 mg/mL SOLUCION ORAL,E.F.41.539
ACETAMINOFEN-CLORFENIRAMINA,BROXOLGRIP,80 mg - 0.5 mg / mL SOLUCION GOTAS ORALES,E.F.41.169
ACETAMINOFEN-CLORFENIRAMINA,ATAMEL FLU,650 mg GRANULADO SABOR A LIMÓN Y MIEL,E.F.41.136
ACETAMINOFEN-CLORFENIRAMINA,DAYFLU NOCHE,500 mg - 2 mg CAPSULAS BLANDAS DE GELATINA,E.F.41.101
ACETAMINOFEN-CLORFENIRAMINA,ASCAFYL SC,0.4 mg - 80 mg/mL SOLUCION GOTAS,E.F.41.093
ACETAMINOFEN-CLORFENIRAMINA,BABILIN,80 mg - 0.5 mg / mL SOLUCION GOTAS,E.F.40.850
ACETAMINOFEN-CLORFENIRAMINA,TERAGRIPNOCHE,500 mg - 2 mg CAPSULAS,E.F.40.198
ACETAMINOFEN-CLORFENIRAMINA,TERAGRIPFORTE NOCHE,650 mg - 4 mg/10 g GRANULADO PSO CANELA,E.F.40.134
ACETAMINOFEN-CLORFENIRAMINA,CLORACE NOCHE,CAPSULAS BLANDAS,E.F.39.841
ACETAMINOFEN-CLORFENIRAMINA,ALIVET,125 mg - 0.5 mg / 5 ml JARABE USO PEDIATRICO,E.F.39.190
ACETAMINOFEN-CLORFENIRAMINA,ALIVETNOC FORTE,GRANULADO LIBRE DE AZÚCAR,E.F.39.183
ACETAMINOFEN-CLORFENIRAMINA,CAPSIFLU FORTE NOCHE,650 mg - 4 mg CAPSULAS BLANDAS,E.F.38.604
ACETAMINOFEN-CLORFENIRAMINA,TERAGRIPFORTE NOCHE,650 mg - 4 mg CAPSULAS BLANDAS,E.F.38.258
ACETAMINOFEN-CLORFENIRAMINA,ALIVETNOC FORTE,650 mg - 4 mg GRANULADO,E.F.37.366
ACETAMINOFEN-CLORFENIRAMINA,MEDIGRIP NOCHE,500 mg - 3 mg COMPRIMIDOS,E.F.37.219
ACETAMINOFEN-CLORFENIRAMINA,LAPREGRIP,500 mg - 2 mg NOCHE CAPSULAS BLANDAS,E.F.36.544
ACETAMINOFEN-CLORFENIRAMINA,CAPSIFLU,500 mg - 2 mg NOCHE CAPSULAS BLANDAS,E.F.36.148
ACETAMINOFEN-CLORFENIRAMINA,ALIVETNOC FORTE,650 mg - 4 mg COMPRIMIDOS RECUBIERTOS,E.F.36.048
ACETAMINOFEN-CLORFENIRAMINA,CAPSIFLU,500 mg - 4 mg/ 12 g GRANULADO PARA SOLUCION SABOR A LIMON,E.F.35.937
ACETAMINOFEN-CLORFENIRAMINA,ALIPAL FORTE NOCHE,650 mg - 4 mg GRANULADO PARA SOLUCION ORAL,E.F.35.932
ACETAMINOFEN-CLORFENIRAMINA,BROXOLGRIP,125 mg - 1 mg / 5 ml JARABE,E.F.35.372
ACETAMINOFEN-CLORFENIRAMINA,ALIPAL,80 mg - 0.5 mg / ml SOLUCIÓN GOTAS PEDIATRICAS,E.F.35.253
ACETAMINOFEN-CLORFENIRAMINA,CAPSIFLU KIDS,250 mg - 1 mg POLVO GRANULADO PARA SOLUCIÓN SABOR A LIMON,E.F.35.204
ACETAMINOFEN-CLORFENIRAMINA,CEPAFLU NOCHE,500 mg - 2 mg CÁPSULAS BLANDAS,E.F.35.107
ACETAMINOFEN-CLORFENIRAMINA,SINUTIL NOCHE,500 mg - 2 mg CÁPSULAS BLANDAS,E.F.34.988
ACETAMINOFEN-CLORFENIRAMINA,ALIPAL FORTE NOCHE,650 mg - 4 mg CAPSULAS,E.F.34.717
ACETAMINOFEN-CLORFENIRAMINA,ALIVETNOC,500 mg - 3 mg COMPRIMIDOS RECUBIERTOS,E.F.34.099
ACETAMINOFEN-CLORFENIRAMINA,TERAGRIPFORTE NOCHE,650 mg - 4 mg TABLETAS RECUBIERTAS,E.F.34.042
ACETAMINOFEN-CLORFENIRAMINA,TERAGRIPFORTE NOCHE,650 mg - 4 mg GRANULADO PARA SOLUCION ORAL,E.F.34.017
ACETAMINOFEN-CLORFENIRAMINA,TERAGRIP DIA,500 mg - 30 mg TABLETAS RECUBIERTAS,E.F.33.376
ACETAMINOFEN-CLORFENIRAMINA,TERAGRIP NOCHE,500 mg - 4 mg TABLETAS RECUBIERTAS,E.F.33.375
ACETAMINOFEN-CLORFENIRAMINA,TERAGRIP NOCHE,500 mg - 4 mg /10 g GRANULADO,E.F.33.223
ACETAMINOFEN-CLORFENIRAMINA,CORICIDIN FORT,500 mg - 4 mg GRANULADO PARA SOLUCION ORAL SABOR LIMON,E.F.32.345
ACETAMINOFEN-CLORFENIRAMINA,ALIVETNOC,500 mg - 3 mg GRANULADO SABOR LIMON-MIEL,E.F.32.123
ACETAMINOFEN-CLORFENIRAMINA,ANGRIP,500 mg - 3 mg COMPRIMIDOS RECUBIERTOS,E.F.32.037
ACETAMINOFEN-CLORFENIRAMINA,UNIAKUM,80 mg - 0.75 mg/ml SOLUCION EN GOTAS USO PEDIATRICO,E.F.30.464
